MultiUAV-190.txt:	 MOTA: 0.737956,	 FP: 1350, 	 FN:1548,	 SW:50
MultiUAV-194.txt:	 MOTA: 0.504089,	 FP: 2043, 	 FN:3179,	 SW:357
MultiUAV-195.txt:	 MOTA: 0.707467,	 FP: 1468, 	 FN:1718,	 SW:105
MultiUAV-200.txt:	 MOTA: 0.111111,	 FP: 5667, 	 FN:8868,	 SW:145
MultiUAV-206.txt:	 MOTA: 0.482331,	 FP: 4265, 	 FN:6510,	 SW:754
MultiUAV-207.txt:	 MOTA: 0.633105,	 FP: 3084, 	 FN:4834,	 SW:321
MultiUAV-209.txt:	 MOTA: 0.602984,	 FP: 2720, 	 FN:5939,	 SW:256
MultiUAV-211.txt:	 MOTA: 0.531274,	 FP: 3812, 	 FN:6297,	 SW:360
MultiUAV-217.txt:	 MOTA: -0.079067,	 FP: 10287, 	 FN:13687,	 SW:305
MultiUAV-219.txt:	 MOTA: 0.045200,	 FP: 9824, 	 FN:11126,	 SW:533
MultiUAV-225.txt:	 MOTA: 0.501022,	 FP: 4081, 	 FN:6793,	 SW:353
MultiUAV-227.txt:	 MOTA: -0.854756,	 FP: 19405, 	 FN:22305,	 SW:22
MultiUAV-229.txt:	 MOTA: -0.142622,	 FP: 11895, 	 FN:13677,	 SW:137
MultiUAV-232.txt:	 MOTA: -0.291448,	 FP: 6750, 	 FN:8117,	 SW:128
MultiUAV-234.txt:	 MOTA: 0.296067,	 FP: 4205, 	 FN:5953,	 SW:401
MultiUAV-237.txt:	 MOTA: 0.084067,	 FP: 5888, 	 FN:7528,	 SW:323
MultiUAV-238.txt:	 MOTA: 0.055133,	 FP: 5971, 	 FN:8001,	 SW:201
MultiUAV-242.txt:	 MOTA: 0.355067,	 FP: 4274, 	 FN:5286,	 SW:114
MultiUAV-243.txt:	 MOTA: 0.612467,	 FP: 2311, 	 FN:3367,	 SW:135
MultiUAV-250.txt:	 MOTA: 0.588641,	 FP: 2400, 	 FN:3404,	 SW:215
MultiUAV-257.txt:	 MOTA: 0.549715,	 FP: 2810, 	 FN:3674,	 SW:146
MultiUAV-261.txt:	 MOTA: -0.265498,	 FP: 4789, 	 FN:6174,	 SW:81
MultiUAV-262.txt:	 MOTA: -0.147378,	 FP: 6503, 	 FN:6335,	 SW:70
MultiUAV-263.txt:	 MOTA: -0.045422,	 FP: 5021, 	 FN:6605,	 SW:135
MultiUAV-264.txt:	 MOTA: -0.011467,	 FP: 5764, 	 FN:5532,	 SW:83
MultiUAV-266.txt:	 MOTA: 0.073524,	 FP: 4844, 	 FN:4826,	 SW:58
MultiUAV-269.txt:	 MOTA: 0.060252,	 FP: 2952, 	 FN:3114,	 SW:48
MultiUAV-274.txt:	 MOTA: 0.025707,	 FP: 7779, 	 FN:10291,	 SW:198
MultiUAV-280.txt:	 MOTA: 0.419183,	 FP: 3964, 	 FN:4493,	 SW:63
MultiUAV-282.txt:	 MOTA: 0.007000,	 FP: 6297, 	 FN:8443,	 SW:155
MultiUAV-287.txt:	 MOTA: 0.084254,	 FP: 5905, 	 FN:6135,	 SW:68
MultiUAV-288.txt:	 MOTA: -0.269614,	 FP: 2293, 	 FN:2001,	 SW:43
MultiUAV-290.txt:	 MOTA: -0.216362,	 FP: 2262, 	 FN:2431,	 SW:35
MultiUAV-292.txt:	 MOTA: 0.403916,	 FP: 728, 	 FN:910,	 SW:6
MultiUAV-297.txt:	 MOTA: -0.670362,	 FP: 5937, 	 FN:5901,	 SW:65
MultiUAV-299.txt:	 MOTA: -0.638094,	 FP: 5142, 	 FN:4866,	 SW:63
MultiUAV-001.txt:	 MOTA: 0.309088,	 FP: 9290, 	 FN:13294,	 SW:1059
